run,n_files,type,first_sub_file,last_sub_file,missing_files,nb_event,tstart,tstop,len_s,rate
200,624,cosmics,1_a,156_d,0,,,,,
1013,61,cosmics,1_a,16_a,0,,,,,
1019,44,cosmics,1_a,11_d,0,,,,,
1023,40,cosmics,1_a,10_d,0,,,,,
1024,64,cosmics,1_a,16_d,0,,,,,
1025,64,cosmics,1_a,16_d,0,,,,,
1026,88,cosmics,1_a,22_d,0,,,,,
1027,184,cosmics,1_a,46_d,0,,,,,
1028,72,cosmics,1_a,18_d,0,,,,,
1029,36,cosmics,1_a,9_d,0,,,,,
1030,28,cosmics,1_a,7_d,0,,,,,
1031,72,cosmics,1_a,18_d,0,,,,,
1032,68,cosmics,1_a,17_d,0,,,,,
1033,64,cosmics,1_a,16_d,0,,,,,
1034,68,cosmics,1_a,17_d,0,,,,,
1035,40,cosmics,1_a,10_d,0,,,,,
1048,220,cosmics,1_a,55_d,0,,,,,
1049,80,cosmics,1_a,20_d,0,,,,,
1050,140,cosmics,1_a,35_d,0,4166.0,1567083208.2,1567083625.37,417.178,10.0
1051,332,cosmics,1_a,83_d,0,,,,,
1052,4,cosmics,1_a,1_d,0,,,,,
1053,109,cosmics,1_a,28_a,0,,,,,
1063,16,cosmics,1_a,4_d,0,,,,,
1064,156,cosmics,1_a,39_d,0,,,,,
1065,212,cosmics,1_a,53_d,0,,,,,
1066,196,cosmics,1_a,49_d,0,,,,,
1067,276,cosmics,1_a,69_d,0,,,,,
1068,104,cosmics,1_a,26_d,0,,,,,
1069,40,cosmics,1_a,10_d,0,,,,,
1073,108,cosmics,1_a,27_d,0,,,,,
1074,224,cosmics,1_a,56_d,0,,,,,
1088,136,cosmics,1_a,34_d,0,,,,,
1089,68,cosmics,1_a,17_d,0,,,,,
1090,116,cosmics,1_a,29_d,0,,,,,
1091,204,cosmics,1_a,51_d,0,,,,,
1092,640,cosmics,1_a,160_d,0,,,,,
1093,448,cosmics,1_a,112_d,0,,,,,
1094,588,cosmics,1_a,147_d,0,,,,,
1095,288,cosmics,1_a,72_d,0,,,,,
1096,320,cosmics,1_a,80_d,0,,,,,
1097,396,cosmics,1_a,99_d,0,,,,,
1098,116,cosmics,1_a,29_d,0,,,,,
1104,60,cosmics,1_a,15_d,0,,,,,
1105,284,cosmics,1_a,71_d,0,,,,,
1106,252,cosmics,1_a,63_d,0,,,,,
1107,248,cosmics,1_a,62_d,0,,,,,
1108,280,cosmics,1_a,70_d,0,,,,,
1109,424,cosmics,1_a,106_d,0,,,,,
1110,308,cosmics,1_a,77_d,0,,,,,
1111,144,cosmics,1_a,36_d,0,,,,,
1112,300,cosmics,1_a,75_d,0,,,,,
1113,312,cosmics,1_a,78_d,0,,,,,
1114,592,cosmics,1_a,148_d,0,,,,,
1115,276,cosmics,1_a,69_d,0,,,,,
1116,244,cosmics,1_a,61_d,0,,,,,
1117,208,cosmics,1_a,52_d,0,,,,,
1118,220,cosmics,1_a,55_d,0,,,,,
1119,256,cosmics,1_a,64_d,0,,,,,
1120,60,cosmics,1_a,15_d,0,,,,,
1121,40,cosmics,1_a,10_d,0,,,,,
1122,12,cosmics,1_a,3_d,0,,,,,
1123,4,cosmics,1_a,1_d,0,,,,,
1124,820,cosmics,1_a,205_d,0,,,,,
1136,140,cosmics,1_a,35_d,0,,,,,
1137,260,cosmics,1_a,65_d,0,,,,,
1138,128,cosmics,1_a,32_d,0,,,,,
1139,56,cosmics,1_a,14_d,0,,,,,
1153,316,cosmics,1_a,79_d,0,,,,,
1154,184,cosmics,1_a,46_d,0,,,,,
1155,304,cosmics,1_a,76_d,0,,,,,
1156,516,cosmics,1_a,129_d,0,,,,,
